Year	DoY	Hour	NEE	LE	H	Rg	Tair	Tsoil	rH	VPD	Ustar
-	-	-	umolm-2s-1	Wm-2	Wm-2	Wm-2	degC	degC	%	hPa	ms-1
2023	91	0.5	11.18	5.58	-9999	0.0	20.72	21.73	99.37	0.15	0.2
2023	91	1.0	11.18	5.58	-9999	0.0	20.57	21.71	99.33	0.16	0.13
2023	91	1.5	12.8	9.97	-9999	0.0	20.32	21.61	99.36	0.15	0.16
2023	91	2.0	7.77	6.04	-9999	0.0	20.11	21.56	99.39	0.14	0.15
2023	91	2.5	-4.48	5.6	-1.63	0.0	19.96	21.53	99.31	0.16	0.14
2023	91	3.0	-2.82	5.16	6.52	0.0	19.98	21.53	97.3	0.63	0.07
2023	91	3.5	-1.17	4.94	-6.68	0.0	21.28	21.46	87.28	3.21	0.18
2023	91	4.0	0.49	4.72	-3.11	0.0	21.45	21.43	85.82	3.62	0.07
2023	91	4.5	0.65	4.5	-5.98	0.0	21.5	21.38	84.45	3.98	0.08
2023	91	5.0	1.18	-9999	-3.2	0.0	21.38	21.37	85.89	3.58	0.09
2023	91	5.5	1.5	-9999	-3.79	0.08	21.22	21.3	86.63	3.36	0.07
2023	91	6.0	2.91	-9999	-7.31	5.35	20.99	21.2	88.06	2.96	0.09
2023	91	6.5	1.6	-9999	-5.87	41.03	20.83	21.17	88.88	2.73	0.09
2023	91	7.0	0.29	-2.05	-9999	64.58	21.18	21.13	87.34	3.17	0.1
2023	91	7.5	-1.02	46.43	-9999	87.53	21.36	21.1	87.79	3.1	0.24
2023	91	8.0	-7.88	114.64	-9999	244.55	22.59	21.1	84.35	4.28	0.17
2023	91	8.5	-11.25	182.84	88.51	288.46	23.25	21.1	82.98	4.84	0.34
2023	91	9.0	-9999	158.24	122.79	492.09	23.29	21.11	82.97	4.85	0.4
2023	91	9.5	-9999	142.81	156.57	605.86	23.66	21.19	82.57	5.08	0.28
2023	91	10.0	-9999	326.5	190.34	693.96	24.54	21.26	79.29	6.37	0.34
2023	91	10.5	-19.11	-9999	224.12	765.37	25.02	21.41	74.62	8.03	0.38
2023	91	11.0	-19.41	-9999	249.17	717.5	25.44	21.65	73.54	8.58	0.49
2023	91	11.5	-17.85	-9999	199.79	833.11	26.12	21.92	66.09	11.45	0.39
2023	91	12.0	-21.43	367.62	150.41	622.07	26.31	22.08	63.18	12.57	0.56
2023	91	12.5	-9.44	180.36	97.82	492.0	26.58	22.22	59.47	14.06	0.32
2023	91	13.0	-9.47	133.46	27.48	341.5	26.24	22.44	64.68	12.01	0.32
2023	91	13.5	-14.92	283.95	119.57	629.47	26.71	22.53	59.9	14.02	0.34
2023	91	14.0	-10.83	303.59	137.24	678.83	27.13	22.61	52.98	16.84	0.26
2023	91	14.5	-12.46	270.31	192.01	706.9	27.31	22.65	52.3	17.27	0.35
2023	91	15.0	-9.28	229.67	97.77	621.58	26.97	22.7	53.46	16.51	0.43
2023	91	15.5	-10.79	234.35	123.42	481.49	26.77	22.69	56.59	15.23	0.53
2023	91	16.0	-3.15	-9999	11.51	110.95	25.88	22.69	68.81	10.38	0.3
2023	91	16.5	1.53	-9999	-4.99	52.91	24.97	22.74	76.63	7.37	0.27
2023	91	17.0	1.49	-9999	-5.65	46.04	24.27	22.7	82.84	5.19	0.2
2023	91	17.5	1.22	5.22	-4.5	25.78	23.85	22.69	84.58	4.55	0.1
2023	91	18.0	6.59	2.51	-7.82	6.12	23.28	22.6	87.67	3.51	0.14
2023	91	18.5	2.04	-1.78	-6.0	0.16	22.75	22.55	92.25	2.14	0.11
2023	91	19.0	9.52	-11.32	-10.86	0.0	22.23	22.53	96.76	0.87	0.21
2023	91	19.5	7.46	-3.62	-6.05	0.0	21.95	22.45	98.66	0.35	0.2
2023	91	20.0	5.23	-4.12	-1.04	0.0	21.83	22.4	99.04	0.25	0.21
2023	91	20.5	6.63	1.79	-1.37	0.0	21.86	22.37	99.28	0.19	0.18
2023	91	21.0	7.29	6.28	-4.76	0.0	21.79	22.36	99.4	0.16	0.12
2023	91	21.5	5.99	-1.19	-2.12	0.0	21.75	22.31	99.48	0.14	0.17
2023	91	22.0	9.62	13.95	-2.83	0.0	21.63	22.27	99.54	0.12	0.17
2023	91	22.5	7.47	9.09	-3.54	0.0	21.41	22.18	99.58	0.11	0.14
2023	91	23.0	4.83	3.48	-2.76	0.0	21.36	22.11	99.6	0.1	0.12
